"TripID","Site","TrapType","FoodDim1","FoodDim2","ConsDim1","ConsDim2"
"KBJWP9404J","Bamburi","Gated",-1.15285566394202,-0.52825171746274,-0.805818284744384,-0.860624025953052
"EQSEW9390T","Bamburi","Gated",-1.31209757715653,-0.0512760548085514,-0.10772871301575,-1.55786702635454
"AWQRA0492T","Bamburi","Traditional",2.83825613646805,5.03542364060476,0.0219233482548377,-1.27575205623927
"JOPCP4916U","Bamburi","Gated",-1.17380102620076,-0.549277767888995,-1.30047030918812,-0.607342973970702
"BLVWX1356M","Bamburi","Gated",-1.2371379565322,-0.175256373423407,0.559524656825349,-2.06546558443084
"BPSPO3175K","Bamburi","Gated",-0.965186130403394,-0.542833121333061,0.321664609603852,-2.17416463321652
"TFHPZ0626V","Bamburi","Gated",-1.30156675166012,-0.0540669487166556,0.0925268472868825,-1.74094761268347
"VPXHD9209C","Bamburi","Gated",-1.2492865532286,-0.323779767493312,-0.249302630759065,-2.29892150430787
"CBKCK3613B","Bamburi","Gated",-0.611223630986877,-0.675784570065675,-0.743043051633265,-1.00095562996688
"MBWCU8974O","Bamburi","Traditional",2.90527249226638,5.52244412530987,0.189981978060184,-1.78775217951497
"IMZVH7325L","Bamburi","Traditional",-0.796454833141563,-0.363623490537183,-0.0280981297390066,-1.14509300978953
"CBFJP5727S","Bamburi","Gated",-0.673979083317211,-1.16359109142188,-0.341390953154205,-0.89687177156694
"UNQIN0072M","Bamburi","Gated",-1.01841976833255,-0.733685873203206,-0.331151152754073,-0.680125632098984
"VYPVM2654T","Bamburi","Traditional",0.140845404134478,-0.03742704178468,-0.550551733852032,0.106901402567717
"BCSTF7242I","Mwaembe","Traditional",-0.845290218420341,0.611137755496071,-1.93899606789189,1.18948144405187
"YTTWT7772M","Mwaembe","Traditional",0.6074652180127,0.226740900762346,-1.70290065776755,1.0120139881022
"OJVZM5258C","Bamburi","Gated",-0.81998564995008,0.114158070588432,-0.583861559834154,-1.62824326046088
"NCCYU1526A","Bamburi","Traditional",-0.762706613532531,-0.815799169922622,0.483903115991573,-1.0101239008529
"UTMPK3329T","Bamburi","Gated",0.731066247570092,2.96456282340002,-0.840717672609169,-1.48150529572999
"DXUKH2306K","Bamburi","Gated",-0.52806227140483,1.26902497949205,-0.7583102645422,-1.16955721657464
"EIIRU9467G","Bamburi","Traditional",-1.17987515435669,-0.0653457664792532,-1.46093489152408,0.303126424945217
"WEEOP2472H","Bamburi","Gated",-1.45836724562989,0.202597224272627,0.0745098087986066,-2.22816818621208
"EJSPD8900J","Bamburi","Gated",-1.43728624762633,0.0607056244062809,-0.394667945198143,-1.84476878095421
"RUMIO3214I","Bamburi","Gated",-1.24088914786028,-0.15608979788384,-1.13495999043986,-0.290767299895966
"ICCSW5223P","Bamburi","Traditional",-1.23762191697305,0.00503293339415038,-0.829630944226008,-0.452941505793957
"JJPMU5007A","Bamburi","Gated",-1.32052314291814,-0.0835493442754144,0.43070349231205,-2.15033953630671
"DPXFR2827R","Bamburi","Traditional",-0.151817997324932,-0.131102996418015,-0.65964842110215,-1.34206470915168
"AITXK2545V","Bamburi","Traditional",-1.25267988764627,-0.163467859030784,0.21490027736958,-0.60699009316468
"IVSOE8224G","Mwaembe","Traditional",-0.956519530976348,0.463185896282073,0.0184220801089639,-0.852421411513684
"QTEMF2126I","Mwaembe","Traditional",1.13962178923969,0.320805679116421,-1.02734887109324,0.534713680525936
"AAPEX9359R","Nyali","Gated",-0.0989040202815774,-0.405555228225995,1.65062974639046,-0.417180637097797
"USFYE2236T","Nyali","Gated",0.00392560056866187,-0.467277202540467,1.92795197141165,-0.356585473957186
"WRSYF5638N","Nyali","Gated",-0.235464747582525,-0.361857425867491,1.87706715948114,-0.367703852515097
"WIBNQ2858X","Nyali","Gated",-0.405609745200911,-0.330084563690249,2.10180841217415,-0.318597680550995
"IBKCP2227U","Nyali","Gated",0.595784074346571,-0.561378064281258,1.87565369248308,-0.36801269636393
